# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
1000 -22.9142 25.7963 296.384 300.751 297.339 301.853 302.605 298.01 297.483 300.482 302.939 302.985
2000 -28.3185 29.9297 295.597 299.891 298.062 302.934 300.7 299.296 297.48 300.757 302.124 305.023
3000 -32.234 30.7356 293.348 299.147 300.259 302.265 301.326 297.862 297.781 302.123 301.818 307.766
4000 -32.8659 32.0727 290.525 298.828 301.289 301.278 300.977 299.243 295.865 302.174 303.034 309.116
5000 -37.1403 36.2045 287.845 299.732 300.827 302.8 298.662 301.554 295.057 302.008 303.141 310.835
6000 -36.881 38.9072 286.612 298.405 301.694 302.932 297.963 301.336 296.248 301.728 304.158 311.323
7000 -38.1837 39.0105 287.25 296.125 302.265 302.346 298.236 300.243 297.229 301.372 305.03 311.02
8000 -40.4113 39.8523 287.446 295.126 300.691 303.812 297.975 300.27 297.457 303.121 303.191 312.418
9000 -39.7341 42.0049 287.018 293.149 301.46 303.596 299.547 298.59 298.591 302.95 303.053 313.264
10000 -41.01 44.7778 286.058 292.583 301.794 302.277 300.438 298.316 299.387 301.408 303.546 313.479
11000 -44.5867 46.3317 283.757 294.22 301.102 299.996 302.592 296.804 299.756 302.618 302.795 315.792
12000 -49.7581 47.8959 281.888 295.434 299.605 300.467 302.343 298.88 298.808 302.958 302.51 318.252
13000 -50.4648 48.9081 281.918 294.19 298.584 300.196 301.591 300.804 297.225 302.909 305.218 317.315
14000 -50.4062 49.9838 280.787 295.82 297.171 299.671 301.534 301.335 297.887 302.304 306.809 316.36
15000 -51.3282 54.7637 277.777 297.066 296.759 300.207 300.491 301.114 298.952 301.035 309.671 316.618
16000 -52.667 55.4427 276.401 296.79 295.461 301.886 299.153 300.666 300.502 300.189 310.435 317.959
17000 -55.1182 57.147 277.029 294.886 295.19 301.599 299.628 300.398 300.321 302.31 309.186 319.24
18000 -58.6431 57.2679 277.66 293.902 295.523 301.066 301.152 299.363 298.605 303.667 311 319.911
19000 -58.3967 59.6637 278.537 291.798 295.508 300.364 301.685 299.372 297.749 304.601 311.189 320.893
20000 -61.0153 61.8798 277.411 290.876 295.989 299.83 302.785 300.203 297.898 304.213 312.082 322.125
21000 -66.7822 62.2412 276.706 289.855 296.265 298.491 302.844 300.424 297.684 303.475 312.649 324.161
22000 -65.6297 65.6606 275.642 289.953 295.251 298.715 302.068 300.842 298.356 304.068 312.585 324.677
23000 -69.7939 68.3222 274.575 288.219 296.474 299.495 300.872 299.693 300.356 303.168 313.511 325.303
24000 -68.3851 69.6428 274.289 286.526 297.132 298.895 300.967 299.284 301.478 304.232 312.835 325.854
25000 -71.059 69.5377 274.818 284.985 296.875 299.295 301.524 298.987 300.885 303.543 313.442 327.146
26000 -72.7203 72.3187 274.961 285.05 295.468 299.032 301.746 298.988 301.8 303.64 313.092 328.589
27000 -74.1325 73.0621 275.396 285.144 294.663 298.559 302.174 298.282 301.632 305.896 312.622 327.483
28000 -74.8397 74.6881 275.648 284.052 294.294 299.69 301.661 298.403 300.406 307.729 312.522 327.261
29000 -75.4808 76.5449 275.194 283.225 294.827 298.639 301.527 299.169 299.364 309.015 314.399 326.328
30000 -79.4054 78.9529 273.146 284.001 294.542 297.552 301.122 299.654 300.023 310.434 312.978 326.885
31000 -79.7282 81.5476 272.726 283.374 293.396 299.462 301.143 297.53 301.619 310.507 312.292 327.248
32000 -80.7022 83.9627 271.661 282.382 294.828 297.616 302.569 296.17 302.448 310.392 313.143 327.25
33000 -80.071 84.8152 271.378 281.808 295.984 296.715 302.811 297.135 301.504 309.147 314.132 327.542
34000 -83.1159 86.1022 270.876 282.132 295.107 296.896 301.276 298.427 302.344 309.411 313.157 329.377
35000 -85.8392 88.029 269.738 282.593 296.372 295.867 299.617 298.222 303.317 311.031 312.308 329.163
36000 -83.4629 90.8426 267.564 283.471 295.741 295.933 298.494 297.695 304.075 312.264 311.282 327.431
37000 -87.9458 92.8835 267.853 282.711 293.598 297.248 298.133 297.784 305.109 312.088 312.369 329.454
38000 -90.0953 92.161 267.996 283.569 292.437 297.388 296.757 298.265 306.255 311.768 312.364 330.96
39000 -89.0966 96.4869 267.236 283.227 291.83 298.93 296.538 300.082 304.129 311.634 312.778 330.039
40000 -89.805 95.1483 267.224 282.558 292.537 297.871 297.406 300.12 303.618 313.026 313.98 328.828
41000 -89.6318 96.7169 268.621 282.095 292.076 296.306 297.372 301.255 302.422 313.672 315.819 327.118
42000 -93.0891 97.6154 270.624 281.497 289.959 296.705 297.661 301.945 301.121 314.272 316.239 327.109
43000 -92.9958 97.5503 270.662 280.9 288.833 297.485 298.434 300.409 303.208 313.851 316.064 327.214
44000 -95.9837 99.1579 271.124 280.342 289.032 296.568 299.938 298.33 305.125 314.388 315.671 326.941
45000 -94.6495 99.3033 270.871 280.207 288.204 297.538 299.827 297.089 306.227 312.695 317.346 326.718
46000 -95.9459 102.301 268.923 281.921 287.345 297.289 301.381 296.212 307.153 313.008 317.168 326.351
47000 -98.1889 102.304 268.746 281.465 288.107 298.586 300.033 295.345 306.507 314.568 316.17 327.493
48000 -100.626 103.022 268.905 279.865 289.321 297.076 300.086 297.117 304.941 314.672 316.221 327.333
49000 -101.282 105.555 268.664 278.162 290.343 297.501 298.119 299.477 304.174 312.968 316.873 329.029
50000 -102.056 109.131 268.591 278.284 290.213 297.241 297.16 300.338 304.017 311.244 317.769 329.335
51000 -103.79 108.302 269.721 277.795 290.709 296.838 297.301 299.788 303.57 311.914 318.785 329.987
52000 -104.108 111.094 270.281 277.046 289.989 295.457 297.963 299.526 303.055 312.341 318.618 330.159
53000 -105.584 109.562 271.567 277.086 290.16 295.512 297.125 299.456 303.741 313.995 318.183 330.194
54000 -106.49 110.311 272.669 276.892 290.419 294.639 298.158 298.174 304.731 314.3 316.986 330.281
55000 -106.162 112.616 272.344 278.155 288.12 294.165 299.338 297.197 303.709 315.243 317.641 329.242
56000 -107.285 114.087 271.697 279.159 286.642 293.266 299.439 298.343 304.415 314.455 318.808 326.797
57000 -106.759 115.835 271.246 280.059 284.328 293.236 300.611 298.785 305.759 311.493 317.966 328.562
58000 -109.841 115.577 272.164 280.138 283.743 293.304 299.164 299.993 308.437 309.139 318.672 328.404
59000 -111.218 118.018 271.56 278.321 285.689 292.791 299.497 298.196 308.872 309.387 320.14 329.238
60000 -112.716 120.136 270.433 279.259 285.734 292.27 300.004 298.719 308.147 310.594 319.583 330.607
61000 -115.708 121.752 270.758 278.125 285.91 291.819 299.314 299.33 306.268 311.942 319.597 330.369
62000 -116.593 121.617 271.364 276.358 285.857 291.347 301.21 301.076 304.965 312.015 319.156 331.023
63000 -116.642 124.54 270.751 275.735 286.805 291.439 301.587 301.565 304.868 312.192 318.842 330.41
64000 -117.81 124.189 270.273 275.134 288.555 290.394 300.262 302.178 304.778 312.604 319.114 330.34
65000 -121.489 128.112 269.322 275.276 289.755 289.964 299.791 301.848 305.526 312.434 319.572 331.233
66000 -122.432 127.149 269.507 276.21 289.207 290.348 299.43 302.081 305.606 311.92 319.665 332.307
67000 -122.443 127.593 269.061 275.775 288.844 291.69 297.387 303.294 306.608 311.552 318.186 333.685
68000 -125.364 129.505 268.05 276.016 288.945 293.383 295.389 303.525 306.132 312.497 317.075 334.897
69000 -128.212 130.3 267.394 277.09 287.997 293.636 295.659 303.027 306.519 312.255 318.399 334.554
70000 -127.873 131.131 266.203 278.091 287.084 294.719 295.568 303.5 305.902 314.482 318.698 331.844
71000 -128.993 133.147 266.421 278.377 287.057 294.281 296.292 302.426 305.321 312.64 320.245 333.077
72000 -129.827 134.338 267.153 278.479 285.123 294.454 296.598 303.386 305.339 311.875 321.462 332.713
73000 -131.376 135.163 267.597 279.584 283.158 293.928 297.51 302.489 305.348 312.571 322.037 332.561
74000 -131.994 136.272 268.634 279.583 283.037 293.866 296.331 303.253 303.693 313.693 321.374 333.638
75000 -131.092 134.765 270.158 280.221 283.021 293.204 297.27 303.05 304.324 313.644 321.541 332.762
76000 -134.089 136.49 269.621 280.786 282.387 293.395 297.671 302.033 304.483 313.653 321.831 332.377
77000 -137.746 137.619 268.993 280.805 282.288 294.164 296.817 302.016 304.254 314.28 322.217 333.058
78000 -139.142 140.049 269.549 280.09 283.85 292.829 296.723 301.872 303.666 313.919 324.46 333.719
79000 -139.928 139.044 269.924 279.24 283.747 293.203 297.092 301.101 305.235 312.07 325.231 333.374
80000 -142.036 142.522 269.327 278.014 284.715 293.227 297.094 300.895 305.843 311.638 325.564 334.214
81000 -143.169 144.12 269.226 278.426 287.407 291.375 295.101 300.896 306.892 311.857 324.66 334.117
82000 -143.692 145.449 267.388 279.225 287.643 290.169 295.314 300.433 307.362 312.758 324.469 333.319
83000 -145.183 145.887 266.472 280.618 287.918 289.651 295.636 299.19 307.561 314.281 323.379 334.337
84000 -146.72 148.265 266.973 280.487 287.801 287.939 297.013 298.632 307.098 315.815 321.863 333.541
85000 -146.417 151.561 266.468 280.614 286.384 288.793 295.624 299.257 307.434 317.164 322.099 334.332
86000 -149.188 153.385 265.375 282.137 286.475 287.953 296.817 298.456 307.421 315.992 323.98 334.025
87000 -151.712 154.9 264.049 282.612 285.546 287.407 297.355 298.765 307.539 314.87 323.723 335.219
88000 -153.37 156.239 263.137 283.726 285.561 289.008 295.614 297.584 308.37 315.436 322.847 336.065
89000 -155.379 157.726 264.632 281.324 285.303 290.493 293.802 299.626 309.046 313.462 324.153 335.21
90000 -156.853 160.09 265.333 279.814 285.122 291.38 292.71 300.406 308.287 313.566 325.05 335.145
91000 -157.788 161.44 267.2 279.626 284.463 290.807 292.871 300.601 308.091 312.745 325.452 336.799
92000 -158.603 159.855 269.156 277.209 285.841 289.219 294.126 300.748 308.023 312.354 325.94 336.539
93000 -159.214 159.762 270.817 276.279 286.088 289.223 293.873 301.595 308.626 312.968 325.076 335.316
94000 -162.022 163.18 268.766 275.032 286.796 288.978 295.697 300.238 307.178 314.756 325.239 336.644
95000 -162.048 163.718 269.38 274.514 287.388 286.74 296.858 299.468 307.995 315.63 323.085 336.991
96000 -163.709 165.83 270.579 274.348 286.324 287.132 295.805 301.152 305.716 316.649 324.168 336.922
97000 -165.408 166.871 269.46 273.73 286.65 286.18 297.125 301.287 304.189 318.394 323.165 336.797
98000 -165.986 170.459 268.563 273.188 287.407 286.832 297.006 300.633 304.433 318.767 324.361 337.106
99000 -165.342 170.263 268.417 273.841 286.839 286.841 296.648 300.795 305.87 317.441 324.993 336.594
100000 -167.77 171.197 269.881 272.098 286.245 288.345 295.613 301.345 304.815 318.154 325.73 335.242
101000 -170.97 171.556 269.345 273.495 284.92 288.214 295.105 301.805 305.042 318.275 325.613 337.418
102000 -171.201 171.697 268.926 275.26 283.128 289.846 294.369 302.799 304.834 319.494 324.359 338
103000 -171.831 172.381 269.733 272.832 284.095 290.54 293.787 302.536 305.402 319.373 325.458 336.987
