# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
1000 10506.5 509.39 5618.74 10272.6 -163.227 5612.25
2000 11268.2 3796.97 6095.23 11172.4 3274.89 6135.45
3000 7603.25 -386.82 4278.52 7905.75 -1363.45 4272.24
4000 7495.8 -3039.61 3815.87 7578.96 -4602.76 3825.2
5000 7522.19 -163.683 3362.75 7629.06 -1763.38 3373.57
6000 7401.08 -6046.07 2627.56 7373.76 -7395 2631.5
7000 7956.05 -8356.9 2596.63 8121.26 -10112.5 2601.14
8000 9163.44 -7558.01 3041.02 9179.04 -9446.55 3048.63
9000 10406.5 -3757.51 3890.37 10419 -5674.26 3872.72
10000 10336.6 -5529.33 3784.3 10497 -7631.38 3807.21
11000 12352.5 -1734.71 4430.6 12525.7 -3705.16 4456.57
12000 13083.4 3029.15 5116.5 13519.7 1340.16 5164.92
13000 13707.8 4452.02 5099.32 13812.2 2373.61 5164.44
14000 12565.5 3448.4 5058.91 12562 1313.4 5079.83
15000 10157.4 2362.34 4512.86 10626.3 446.709 4513.64
16000 8502.93 4794.91 4493.9 8669.9 2735.28 4509.59
17000 7946.4 5430.02 3662.59 8431.21 3771.1 3670.79
18000 7985.91 5543.33 2501.06 8800.89 3814.69 2507.95
19000 7863.08 224.628 1147.91 8934.37 -2306.8 1131.65
20000 6387 -1384.57 1039.31 7410.23 -4106.95 1064.46
21000 7277.41 1909.11 1111.45 7824.32 -492.85 1107.49
22000 4566.51 -2776.34 1466.38 4883.71 -4840.09 1447.12
23000 3582.46 -6884.67 635.03 3732.95 -9222.47 670.605
24000 836.883 -2957.52 -405.891 1211.85 -6128.61 -377.837
25000 2190.53 370.229 -118.821 2526.69 -3108.61 -149.836
26000 2418.18 3870.4 -438.028 1968.1 959.099 -449.789
27000 1221.25 3977.12 -1065.83 698.458 963.053 -1059.01
28000 -6120.69 3205.17 -1417.08 -6703.53 -128.756 -1420.7
29000 -10182.5 2962.44 -1242.29 -10317.1 -101.334 -1289.84
30000 -13680.3 436.095 -1085.63 -13625.2 -2896.79 -1051.01
31000 -12968.2 -3590.16 -1061.76 -12460.4 -6980.13 -1109.28
32000 -11477.4 -5145.19 -1435.22 -11101.9 -8732.91 -1422.65
33000 -13836.6 -3439.61 -1555.73 -13112.2 -7190.96 -1584.86
34000 -13685.7 -3773.84 -1101.26 -13331.3 -7203.09 -1122.83
35000 -13454.1 -3496.7 -473.376 -13288.5 -7085.52 -460.282
36000 -11287.6 -4085.06 -140.293 -11488.9 -7346.5 -137.717
