# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
1000 -24.3231 25.9802 298.89 301.764 301.597 297.524 297.191 304.008 299.903 300.497 299.9 303.288
2000 -30.1009 31.28 297.15 300.922 300.186 298.763 296.343 303.944 299.811 301.19 300.054 304.785
3000 -32.356 34.4012 295.081 302.052 298.567 299.029 295.814 305.722 299.133 301.498 300.149 306.909
4000 -32.8196 38.3244 291.792 301.922 299.023 299.069 295.939 305.979 300.579 299.265 300.013 309.967
5000 -34.1972 39.98 290.117 302.13 298.732 300.379 295.253 304.341 299.566 300.901 298.891 311.601
6000 -37.5819 39.414 288.934 302.008 299.09 300.501 294.509 304.97 298.868 303.127 297.526 313.719
7000 -39.9464 43.1851 287.124 300.627 299.635 300.209 292.934 305.437 299.488 302.65 297.166 316.848
8000 -41.8424 45.4477 284.654 299.645 300.119 302.33 292.866 303.62 302.246 300.704 300.232 317.036
9000 -44.4863 49.0806 282.22 298.824 300.57 302.381 292.83 303.555 301.494 300.367 302.31 317.727
10000 -45.7112 51.6441 281.791 297.449 301.242 301.337 293.839 302.758 301.719 299.623 302.876 319.073
11000 -46.89 52.7471 282.994 293.757 302.851 300.512 294.793 303.406 300.173 300.973 302.104 322.365
12000 -50.0149 52.9041 283.261 291.076 302.35 300.667 295.547 301.818 301.586 299.792 303.257 322.175
13000 -54.0711 53.561 283.531 290.806 302.275 299.79 298.091 299.097 301.881 302.727 302.934 324.472
14000 -56.56 55.6484 281.383 293.067 301.878 297.603 300.282 297.991 301.431 303.435 305.037 326.789
15000 -58.1299 59.5857 279.166 293.107 301.153 297.475 298.598 298.339 301.528 304.045 306.365 325.755
16000 -58.8893 62.7293 277.99 292.554 300.895 296.369 298.737 297.611 303.24 304.036 306.514 325.742
17000 -62.043 63.9092 277.709 291.494 300.42 297.474 298.726 296.241 305.364 302.958 305.608 328.556
18000 -64.2324 65.2882 277.396 289.718 299.394 298.061 299.37 295.014 306.314 302.671 305.689 330.48
19000 -64.8665 64.8867 277.503 288.54 300.659 296.933 301.076 295.481 305.177 303.928 306.297 330.306
20000 -69.5368 66.3992 277.017 288.26 301.049 298.186 299.168 297.736 304.302 304.759 306.031 331.912
21000 -69.4565 66.9949 276.817 287.445 300.672 298.356 297.752 299.193 304.508 303.323 307.237 330.706
22000 -71.4794 69.5814 276.034 287.506 300.706 297.633 298.282 299.123 304.609 302.914 308.15 331.111
23000 -71.0886 70.6329 275.858 288.402 297.838 298.471 298.345 299.931 302.414 304.585 307.412 331.226
24000 -71.6896 75.012 275.784 288.703 296.121 300.277 296.353 300.58 302.744 305.519 309.074 330.392
25000 -72.6687 73.9243 277.11 287.228 295.058 300.164 297.071 301.623 302.213 304.633 311.487 326.722
26000 -73.5705 75.1013 276.511 287.235 294.466 299.255 297.695 301.051 301.635 305.243 312.791 325.529
27000 -71.3795 76.7268 275.348 286.724 295.028 299.205 299.521 300.508 301.636 305.936 313.014 325.875
28000 -74.0747 79.757 273.307 287.13 294.129 297.706 302.328 299.92 300.741 305.363 313.995 325.133
29000 -75.3073 80.7701 275.304 286.584 293.279 295.139 305.031 298.661 300.358 308.311 313.109 324.833
30000 -78.4142 81.7746 275.162 286.831 293.034 295.23 304.799 298.144 302.295 306.579 314.612 325.992
31000 -80.4397 82.6182 276.018 285.352 292.487 297.032 302.9 298.487 304.328 304.946 314.66 327.171
32000 -81.132 84.4108 275.717 284.131 292.034 297.243 303.453 298.653 303.367 305.188 313.821 329.599
33000 -86.2037 85.9507 274.59 284.457 292.552 297.625 304.091 297.369 302.787 305.761 315.08 330.107
34000 -86.0121 88.1421 271.662 284.704 293.713 298.415 302.334 297.857 302.776 307.295 315.775 327.97
35000 -87.6697 90.0093 271.036 284.514 293.423 298.681 300.256 298.406 303.219 307.924 316.13 328.683
36000 -89.1195 93.2882 270.387 285.651 292.935 298.376 300.217 299.323 303.22 307.961 315.66 328.227
37000 -87.5809 92.7452 270.254 286.316 292.663 297.615 299.114 300.117 303.23 307.279 314.602 330.351
38000 -90.8833 92.9448 270.164 285.299 294.807 296.087 299.058 299.32 305.065 306.403 315.29 330.944
39000 -91.4437 95.6153 269.908 284.864 294.945 295.76 299.272 299.284 304.65 307.931 314.312 330.521
40000 -89.7293 96.9099 269.594 284.107 292.093 297.142 298.416 300.569 303.968 310.443 312.87 330.328
41000 -93.4049 97.8844 270.603 283.676 291.99 296.391 298.061 301.942 304.25 310.286 313.757 331.046
42000 -97.8889 98.6205 270.309 283.097 291.846 296.993 298.091 301.915 303.8 310.37 314.329 331.521
43000 -99.0159 99.4176 269.016 284.685 290.337 299.831 296.79 301.897 303.447 310.748 314.444 332.716
44000 -98.9494 102.344 267.64 285.284 288.971 297.963 299.53 301.67 303.49 311.004 314.634 333.763
45000 -99.7181 104.66 267.352 283.756 288.653 298.02 298.535 302.89 304.05 310.511 314.758 333.927
46000 -102.352 104.357 267.429 283.844 287.773 298.344 297.3 302.683 306.273 310.444 314.446 334.337
47000 -99.9489 106.06 268.292 283.807 287.457 298.471 297.247 303.919 304.826 310.613 314.172 334.217
48000 -103.117 106.535 269.05 283.047 287.182 299.254 297.049 303.794 303.95 312.001 315.447 332.047
49000 -100.927 107.399 267.614 283.181 288.967 298.998 295.848 302.308 305.516 313.063 316.149 330.132
50000 -104.729 108.819 267.759 282.536 287.738 300.105 295.702 302.571 305.37 312.474 318.03 329.964
51000 -104.454 108.645 267.362 283.252 286.737 298.553 296.478 302.219 306.546 311.844 318.675 328.544
52000 -106.328 109.837 268.601 282.68 287.713 298.304 296.671 300.934 305.757 314.079 316.882 330.497
53000 -105.859 110.334 268.242 283.597 287 298.66 297.796 299.341 305.903 314.962 316.894 330.573
54000 -108.856 112.858 267.431 283.293 286.883 298.272 298.951 298.144 306.105 315.837 315.72 331.504
55000 -111.903 113.785 267.123 281.432 288.076 297.515 299.228 298.379 307.421 313.751 318.234 330.697
56000 -111.857 114.474 268.139 281.033 287.964 295.795 297.324 301.27 307.788 313.403 319.814 330.271
57000 -114.558 115.015 267.939 281.686 288.009 296.445 295.31 301.636 307.646 313.197 320.501 330.505
58000 -116.363 115.177 267.771 283.978 286.459 295.899 295.321 302.606 307.12 313.255 321.665 331.597
