# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
1000 -22.5256 26.0198 298.739 301.44 299.698 295.931 298.754 306.076 299.504 298.676 300.14 304.29
2000 -25.7569 31.3417 297.869 299.771 299.337 297.251 297.713 305.914 300.156 298.609 300.893 305.591
3000 -30.3159 33.9527 296.92 298.582 298.679 298.769 297.138 305.757 300.116 298.129 301.185 308.057
4000 -33.684 35.7654 295.548 298.52 298.174 299.729 296.181 304.037 301.329 298.661 301.298 311.597
5000 -35.6257 38.2373 293.943 298.617 297.62 301.043 295.401 303.489 301.911 299.15 299.705 314.597
6000 -37.919 41.517 291.252 298.964 298.139 299.914 294.946 302.834 302.398 299.744 299.574 316.558
7000 -40.9229 44.3503 288.972 297.662 299.19 298.553 296.686 303.327 300.636 299.43 302.033 317.737
8000 -41.997 47.7144 286.041 298.264 298.83 298.202 297.568 302.684 300.718 300.419 302.284 316.985
9000 -44.2062 49.7035 283.638 298.308 299.992 297.432 298.642 300.186 302.546 300.368 302.34 318.836
10000 -46.5228 51.5924 282.925 297.121 300.138 297.393 299.527 298.49 303.611 300.547 302.691 319.788
11000 -50.4782 54.1509 282.348 297.032 297.713 298.694 300.316 298.473 301.64 301.94 303.621 320.34
12000 -51.1658 56.7885 280.791 298.397 296.717 298.908 299.709 298.689 300.637 302.236 304.597 321.292
13000 -51.9811 58.2783 280.696 297.907 296.786 296.716 301.621 298.508 300.96 303.437 304.947 319.844
14000 -51.8229 59.034 280.737 296.749 298.149 294.836 304.153 297.977 298.855 305.231 304.198 321.204
15000 -56.7514 61.0672 279.082 295.27 299.913 294.505 303.041 298.834 297.85 305.901 306.062 321.666
16000 -56.1986 61.0402 279.331 295.246 298.735 294.282 303.024 299.05 298.512 306.208 306.778 321.45
17000 -60.4864 64.9159 277.824 296.491 297.981 293.838 302.828 299.325 298.323 306.643 309.796 319.68
18000 -60.24 65.811 278.157 294.684 297.448 293.764 302.949 301.443 296.044 306.979 310.985 319.443
19000 -59.9045 66.7973 280.552 293.325 295.107 295.098 302.162 301.409 297.497 308.147 310.213 318.921
20000 -66.343 67.9471 280.711 291.646 292.699 297.767 301.723 302.017 298.416 306.512 311.425 319.371
21000 -65.9837 71.5416 279.516 290.782 293.074 297.183 302.678 301.758 298.808 306.946 311.756 320.747
22000 -69.8344 72.6493 279.562 290.078 292.453 298.427 301.987 301.181 297.834 309.311 311.149 321.216
23000 -67.6289 74.2532 277.976 290.457 293.154 298.013 301.703 301.44 297.817 310.924 309.925 321.294
24000 -69.78 75.8853 276.811 291.177 291.915 297.645 302.323 300.868 299.454 310.946 308.506 320.919
25000 -71.2308 76.2804 277.11 289.128 291.442 298.416 302.829 299.994 301.645 311.196 307.991 321.589
26000 -71.9807 78.3236 277.233 288.33 292.034 297.127 301.348 301.222 302.511 310.386 309.947 320.674
27000 -72.4971 82.5404 275.802 286.769 292.753 296.229 300.82 301.801 303.4 309.171 311.391 321.152
28000 -76.5851 82.852 273.65 286.699 294.126 296.624 299.575 302.961 302.874 308.327 312.685 322.95
29000 -79.2019 87.1891 272.851 287.826 292.483 297.376 298.744 302.659 303.897 308.719 311.746 322.689
30000 -76.8125 90.1133 271.106 287.586 291.586 297.834 300.555 299.134 305.213 309.426 311.664 321.629
31000 -79.7969 91.7634 269.472 287.832 292.385 297.38 300.524 299.238 306.2 309.192 311.936 321.34
32000 -78.7148 94.4646 266.973 286.984 292.928 297.973 300.249 299.268 305.988 309.966 310.386 323.749
33000 -83.9335 96.6421 266.56 286.504 294.723 296.397 300.212 298.787 305.42 310.4 310.942 324.892
34000 -86.6202 98.0114 266.956 286.64 293.749 295.773 299.298 299.164 305.658 311.037 312.403 325.561
35000 -86.3895 99.802 267.356 285.046 293.487 296.451 298.856 299.576 304.532 311.126 313.65 325.387
36000 -88.9165 99.4639 268.463 283.437 294.112 297.047 299.004 298.396 304.971 310.027 314.29 325.988
37000 -89.2199 102.056 269.889 282.213 292.516 296.834 299.099 297.216 306.002 309.742 314.326 326.878
38000 -90.2181 101.486 270.661 282.067 292.339 295.335 300.696 296.496 306.113 308.46 316.508 327.678
39000 -93.7053 104.413 271.348 281.573 291.764 294.927 300.1 296.899 306.97 308.06 316.873 327.372
