# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
1000 8262.07 919.925 3597.03 8205.7 305.308 3602
2000 10042.4 -13.4302 3462.56 9760.93 -101.362 3452.46
3000 11580.2 -4366.21 3179.9 10859.6 -3811.67 3171.38
4000 12005.6 -8598.96 2523.98 11868.1 -7403.2 2512.74
5000 12201.8 -5178.71 1951.85 12134.5 -3988.48 1973.54
6000 11715.8 -1211.94 1842.36 10892.8 156.799 1842.79
7000 12021 908.184 2148.37 10872.8 2916.5 2185.43
8000 14124.5 2072.82 1788.45 12176.8 4048.61 1788.35
9000 18447.3 2266.84 1692.2 16583.9 4104.16 1693.36
10000 18993.4 828.588 2091.68 17881.7 2696.04 2118.61
11000 15627.7 1284.66 1946.31 14508.7 3303.19 1958.19
12000 13503.4 1461.15 1678.56 12434.9 3426.02 1676.87
13000 13406.9 2689.1 524.361 11948.5 4334.17 522.553
14000 9636.39 367.409 -211.033 8486.5 1865.5 -217.5
15000 7533.44 -4456.74 -1154.95 6751.65 -2342.23 -1159.04
16000 7261.68 -9719.6 -2038.46 6591.98 -7570.79 -2027.74
17000 9998.86 -13552.1 -2631.05 9475.73 -11618.6 -2675.18
18000 7494.45 -17025.3 -2834.98 7094.84 -14821 -2854.77
19000 6375.98 -17841.6 -1994.23 6218 -15334.8 -1988.66
20000 4614.23 -14952.4 -1619.61 4570.06 -13007.6 -1603.21
21000 4283.78 -13725.6 -1456.94 3794.67 -12296.8 -1464.86
22000 2306.08 -10031.4 -1440.68 1279.28 -8650.3 -1392.13
23000 -467.115 -10609.8 -1107.86 -1134.77 -8667.53 -1089.01
24000 -1770.5 -7485.4 -1454.69 -2126.39 -5740.52 -1456.28
25000 -2223.98 -6762.02 -1389.09 -2065.55 -5285.43 -1387.9
26000 -6539.42 -8250.09 -1341.88 -6007.5 -6694.81 -1343.6
27000 -7407.92 -9209.22 -2145.2 -7498.92 -8126.15 -2115.91
28000 -11368.8 -6782.09 -1917.3 -10536.3 -5661.38 -1876.78
29000 -13542.7 -5406.99 -2252.64 -13452.7 -3846.31 -2256.06
30000 -11581.7 -5503.09 -3000.77 -11280.2 -3851.68 -2973.11
31000 -11979.9 -6577.93 -2954.3 -11503.1 -4633.31 -2960.36
32000 -9893.32 -9473.4 -3021.79 -9796.12 -7983.14 -3002.9
33000 -11630.5 -4119.49 -3614.09 -11492.2 -3049.87 -3572.89
34000 -13942.7 -3702.06 -4723.04 -13883.2 -3052.39 -4696.42
35000 -13629.6 -1980.16 -5083.18 -13469.4 -618.927 -5044.29
36000 -14068.7 -4171.83 -4370.91 -13578.5 -3097.13 -4402.74
37000 -9877.76 -3453.81 -4388.66 -9810.53 -2337.69 -4374.21
38000 -11414.2 -3148.56 -4240.46 -11338.1 -1559.38 -4170.21
39000 -13318.7 3378.85 -3593.34 -13062.9 4519.47 -3582.93
40000 -17327.3 3740.17 -2916.99 -16721.9 5117.23 -2910.06
41000 -21456.8 6611.18 -2342.53 -21046.8 7822.75 -2284.52
42000 -18639.1 11388.1 -2669.9 -17992.1 12015.1 -2646.42
43000 -16655.3 10172.8 -4034.68 -15779.3 10769.2 -4035.04
44000 -14152.5 10471.2 -4731.81 -13536.7 11904.6 -4727.46
45000 -12197.4 13710.1 -5306.08 -11750.3 14467.3 -5289.84
