# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
1000 4100.07 -725.685 3938.57 4428.89 77.1205 3918.97
2000 3833.77 -5087.15 4091.99 3392.55 -3943.15 4064.7
3000 5671.4 -3340.46 4207.79 5494.82 -1968.39 4189.96
4000 6430.98 -3282.09 3720.32 6537.87 -1769.21 3689.31
5000 7897.74 -2969.41 2725.35 8010.34 -1400.89 2708.05
6000 7747.72 -1890.84 2357.29 8241.11 -478.601 2345.4
7000 9230.92 -4955.34 2827.11 9526.82 -3329.44 2769.02
8000 11287.6 -1773.88 1387.02 12020.3 -923.4 1341.25
9000 14617 -2096.49 1456.41 15371.7 -1041.35 1456.87
10000 16919.7 2924.75 1041.96 17770.4 3860.1 1023.76
11000 13779 3728.36 18.4217 13890.8 5024.08 44.4545
12000 12031.4 -4745.52 865.855 11792.4 -3305.61 877.277
13000 9012.8 -4163.45 1878.27 8554.86 -2705.05 1862.24
14000 5883.35 -1836.99 2012.26 5452.91 -475.973 1954.02
15000 6337.4 -1078.11 2041.2 5813.27 940.014 2061.04
16000 5079.77 -3647.98 1554.82 4876.76 -1392.7 1564.5
17000 6391.91 -1401.37 1645.48 6338.52 1166.54 1661.48
18000 5592.98 -725.817 1258.35 5985.81 1461.07 1214.46
19000 3669.16 876.39 1030.19 3995.93 2811.03 982.073
20000 728.198 -2415.75 923.623 630.815 254.846 875.631
21000 -810.752 -4930.68 149.664 -1543.3 -1687.76 146.801
22000 -3324.28 -7918.46 720.818 -3958.69 -3956.21 691.189
23000 -6376.11 -7953.54 939.093 -6750.19 -4097.15 885.618
24000 -4680.45 -7431.07 548.061 -4928.27 -4063.51 468.019
25000 -4032.79 -6694.23 568.311 -4102.73 -3053.31 546.441
26000 -7075.15 -6914.46 422.346 -7453.65 -3193.94 376.056
27000 -9103.63 -8173.04 190.349 -9662.64 -4563.6 155.44
28000 -12667.1 -3199.81 -22.3828 -12786.3 694.569 1.1515
29000 -13032 903.632 -25.9676 -13247.1 4849.95 -23.4617
30000 -9861.86 2927.94 -1361.94 -10224.9 6226.26 -1336.73
31000 -9445.71 1553.87 -1548.16 -9847.46 5046 -1533.28
32000 -8085.88 -456.075 -1244.88 -7656.96 3509.17 -1258.22
33000 -7858.42 -505.482 -1472.46 -7408.12 3699.16 -1509.37
34000 -8821.79 -479.444 -1394.46 -8618.22 3841.9 -1390.17
35000 -8237.05 3055.94 -1215.43 -7819.76 7381.71 -1229.11
36000 -9681.19 1605.01 -1128.89 -9025.15 5749.5 -1128.83
37000 -8282.76 -1178.06 -701.431 -7588.59 2634.85 -710.187
38000 -11388.1 -982.375 -1750.85 -10799.2 1825.06 -1742.17
39000 -12862.7 -343.059 -1822.08 -12215 2039.96 -1781.25
40000 -16307.3 320.089 -1371.17 -15971.9 3109.16 -1384.65
41000 -20842.3 4027.87 -2246.71 -20559.9 7011.83 -2304.36
42000 -18039.8 615.196 -2311.43 -17239.4 3753.66 -2306.97
43000 -15794.8 -289.153 -2674.86 -15144.5 2438.51 -2655.95
44000 -12557.5 -3593.03 -3238.44 -11524.7 -434.865 -3289.25
45000 -12662 -5725.13 -3841.72 -11169.3 -2906.02 -3821.14
46000 -11137.5 -2175.37 -4501.54 -9593.37 566.222 -4490.81
47000 -9808.54 -3259.35 -5077.18 -8745.05 -131.385 -5062.07
48000 -9254.4 -1516.97 -5305.26 -8905.97 1836.47 -5315.14
49000 -8112.8 -970.844 -4442.11 -8099.86 2475 -4385.69
50000 -5487.99 -1637.26 -4283.34 -5757.38 1207.91 -4297.18
51000 -3031.53 -6066.06 -3789.45 -3042.45 -2856.92 -3760.54
52000 -1166.07 -7666.1 -3906.3 -1235.01 -4683.35 -3912.76
53000 232.511 -11031 -4055.59 185.595 -7989.83 -4076.9
54000 2734.45 -9485.11 -3425.32 3223.45 -6197.61 -3405.69
55000 4281.85 -10021 -4129.6 4427.89 -6651.42 -4127.13
56000 2273.5 -10084 -4830.5 2496.55 -6471.86 -4847.43
57000 3922.96 -7761.73 -4758.16 3931.83 -4083.08 -4747.11
58000 6512.96 -9297.79 -5220.28 6675.3 -5763.47 -5197.7
59000 7879.35 -8672.72 -4855.64 7348.75 -5120.75 -4883.42
60000 9279.93 -7413.95 -5002.44 8476.87 -3737.86 -4969.11
61000 8569.41 -11629.9 -5558.02 7966.07 -7790.14 -5540.28
62000 8740.62 -16018.6 -6790.06 8180.1 -11342.9 -6804.42
63000 5800.14 -13310.5 -5909.42 5969.7 -9442.05 -5946.35
64000 4774.41 -11760.2 -6521.89 4886.65 -7850.08 -6499.24
65000 5010.91 -14188.7 -6655.85 5406.36 -10339.9 -6669.13
66000 4847.35 -11488.1 -6466.75 5339.93 -8068.33 -6493.7
67000 5933.37 -9925.66 -6431.59 6454.9 -6523.23 -6455.18
68000 6017.75 -13689.3 -5995.02 6298.13 -10217.7 -6003.73
69000 4671.34 -13993.8 -6606.14 5232.05 -10543.5 -6609.03
70000 6192.87 -11885.7 -6432.91 7370.95 -8681.97 -6432.01
71000 9786.66 -10705.8 -5569.8 10663.2 -7691.83 -5572.11
72000 14746.3 -12119.2 -6846.9 15468.1 -8896.64 -6834.74
73000 15893.2 -10497.6 -6760.03 16280 -7430.5 -6736.77
74000 16252.7 -8827.31 -6871.49 16371.8 -5601.32 -6834.74
75000 12660.4 -4743.32 -7066.45 12745.4 -1450.63 -7073.34
76000 12173.8 -96.4954 -7108.34 12402.6 3344.1 -7087.37
77000 11904.1 -1915.67 -7108.79 12056 1882.25 -7065.74
78000 12061.9 -6155.49 -6888.8 12012.1 -1752.7 -6844.21
79000 11318.8 -5512.91 -6857.09 11449.5 -1564.58 -6832.58
80000 10662.1 896.623 -6409.35 10058.5 4493.48 -6375.21
81000 9358.13 5276.11 -7693.67 9042.31 8639.44 -7640.74
82000 6373.91 1457.34 -8042.49 6165.18 4532.96 -8023.69
83000 2523.68 1190.1 -7646.33 2017.89 4184.85 -7632.96
84000 1461.04 -888.968 -7120.59 940.953 2152.98 -7148.6
85000 -1379.46 -776.326 -6852.77 -1851.38 2007.31 -6861.76
86000 -4714.94 1161.44 -6997.69 -4977.51 4640.87 -7078.18
87000 -4784.13 3664.48 -6367.89 -4505.13 7363.25 -6363.34
88000 -6747.71 1035.33 -6286.1 -6104.39 5187.64 -6251.3
89000 -10229.2 -1399.44 -6189.9 -9745.94 2904.19 -6124.88
90000 -9857.93 -343.999 -6217.07 -9427.12 3187.01 -6207.61
91000 -9193.34 2821.69 -6641.95 -9534.36 6135.83 -6633.04
92000 -10237.6 3543.43 -7193.59 -10505.2 7225.91 -7179.95
93000 -10802.9 2164.41 -8719.15 -11109.4 5814.99 -8709.43
94000 -10872.3 3912.14 -8780.39 -10822.7 7731.3 -8852.65
95000 -11219.7 5582.02 -9501.66 -10548 9842.85 -9482.95
96000 -10527.5 3684.38 -9169.37 -9841.83 7866.68 -9149.82
97000 -8806.36 2687.07 -9344.66 -8314.6 7454.51 -9315.87
98000 -7939.09 1193.76 -8674.31 -7859.9 6548.08 -8592.97
99000 -7165.06 7727.65 -8648.28 -7266.68 12511.4 -8626.58
100000 -4441.93 10511.5 -8875.86 -4566.11 14746.1 -8876.58
101000 -6074.07 8230.2 -8456.35 -6193.79 12502.3 -8416.31
102000 -6757.01 5223.58 -9141.93 -6146.08 9702.94 -9114.67
103000 -8357.69 4847.76 -9198.88 -7906 9353.51 -9161.99
