#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.66e+01    7.09e+01      1.61e+00    1.33e+00      1.15e+00    2.24e+00    1.0e-03
   1000      1.12e+01    2.49e-01      2.44e-01    9.60e-02      3.54e-01    7.49e-03    1.0e-03
   2000      3.11e+00    7.75e+00      1.44e-02    2.98e-02      9.83e-02    2.45e-01    1.0e-03
   3000      6.74e+00    8.40e-01      8.26e-02    1.03e-01      2.13e-01    2.64e-02    1.0e-03
   4000      5.84e+00    3.97e-01      3.59e-02    5.49e-02      1.85e-01    1.25e-02    1.0e-03
   5000      4.83e+00    1.00e+01      1.92e-01    4.22e-02      1.51e-01    3.19e-01    9.9e-04
   6000      4.30e+00    4.08e+00      9.07e-02    1.10e-01      1.37e-01    1.30e-01    9.9e-04
   7000      3.68e+00    1.27e+01      9.06e-02    1.90e-03      1.17e-01    4.03e-01    9.9e-04
   8000      2.72e+00    6.21e-01      7.98e-02    1.93e-01      8.66e-02    1.87e-02    9.9e-04
   9000      5.91e+00    8.57e+00      3.00e-01    1.97e-01      1.88e-01    2.73e-01    9.9e-04
  10000      4.02e+00    2.75e+00      1.18e-01    1.61e-01      1.29e-01    8.80e-02    9.7e-04
  11000      3.87e+00    8.44e+00      1.55e-01    1.36e-01      1.21e-01    2.71e-01    9.7e-04
  12000      7.72e+00    2.39e+00      2.20e-02    7.06e-01      2.48e-01    7.13e-02    9.7e-04
  13000      3.49e+00    9.80e+00      2.52e-01    3.36e-01      1.10e-01    3.14e-01    9.7e-04
  14000      5.65e+00    8.45e+00      2.78e-01    9.20e-02      1.79e-01    2.71e-01    9.7e-04
  15000      6.77e+00    1.21e+00      2.00e-01    4.77e-01      2.19e-01    3.25e-02    9.6e-04
  16000      2.80e+00    5.40e-01      2.12e-01    2.17e-01      8.41e-02    1.44e-02    9.6e-04
  17000      8.77e+00    1.08e+01      2.46e-01    2.48e-01      2.83e-01    3.48e-01    9.6e-04
  18000      5.29e+00    2.73e-01      1.28e-01    1.04e-01      1.71e-01    7.48e-03    9.6e-04
  19000      3.71e+00    3.94e+00      3.13e-01    2.07e-01      1.14e-01    1.27e-01    9.6e-04
  20000      3.53e+00    7.35e-01      8.29e-02    1.30e-01      1.13e-01    2.30e-02    9.4e-04
  21000      5.84e+00    2.23e-01      1.17e-01    7.14e-02      1.90e-01    6.29e-03    9.4e-04
